,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,puzzle,astar_f_close_list,wstar100_f_close_list,wstar10_f_close_list,wstar5_f_close_list,wstar2_5_f_close_list,wstar3_f_close_list,wstar2_f_close_list,wstar1_5_f_close_list,wstar1_1_f_close_list,y_star3_f_close_list,maor_f_close_list,maor2_f_close_list,astar_f_len,wstar100_f_len,wstar10_f_len,wstar5_f_len,wstar2_5_f_len,wstar3_f_len,wstar2_f_len,wstar1_5_f_len,wstar1_1_f_len,y_star3_f_len,maor_f_len,maor2_f_len
6395,6395,6395.0,6395.0,,"(5, 3, 6, 1, 7, 4, 2, 8, '_')",1085.0,233.0,152.0,127.0,129.0,129.0,132.0,308.0,536.0,881.0,808.0,768.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
6396,6396,6396.0,6396.0,,"(2, 1, 8, 6, 3, 7, 5, 4, '_')",1260.0,326.0,321.0,375.0,2110.0,1498.0,2441.0,1682.0,1082.0,957.0,1096.0,1124.0,22.0,48.0,48.0,38.0,30.0,26.0,30.0,22.0,22.0,22.0,22.0,22.0
6397,6397,6397.0,6397.0,,"(2, 1, 7, 6, 8, 4, 3, 5, '_')",12760.0,881.0,533.0,274.0,942.0,410.0,593.0,537.0,4605.0,7213.0,12422.0,6162.0,28.0,76.0,58.0,44.0,36.0,38.0,28.0,28.0,28.0,28.0,28.0,28.0
6398,6398,6398.0,6398.0,,"(4, 1, 6, 2, 8, 7, 5, 3, '_')",2448.0,741.0,739.0,801.0,414.0,386.0,672.0,1512.0,1546.0,1972.0,2170.0,1409.0,22.0,40.0,40.0,32.0,26.0,26.0,24.0,22.0,22.0,22.0,22.0,22.0
6399,6399,6399.0,6399.0,,"(1, 5, 8, 2, 3, 7, 4, 6, '_')",337.0,251.0,437.0,333.0,396.0,672.0,232.0,141.0,153.0,287.0,187.0,179.0,18.0,40.0,40.0,30.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6400,6400,6400.0,6400.0,,"(1, 8, 4, 3, 5, 2, 6, 7, '_')",17597.0,280.0,463.0,358.0,1183.0,863.0,2460.0,2879.0,7046.0,8994.0,17453.0,9512.0,28.0,46.0,46.0,36.0,28.0,32.0,28.0,28.0,28.0,28.0,28.0,28.0
6401,6401,6401.0,6401.0,,"(6, 5, 7, 8, 2, 4, 1, 3, '_')",3969.0,297.0,336.0,420.0,345.0,345.0,304.0,412.0,1132.0,1574.0,2444.0,2355.0,26.0,52.0,52.0,34.0,34.0,34.0,32.0,28.0,26.0,26.0,26.0,26.0
6402,6402,6402.0,6402.0,,"(7, 2, 1, 5, 4, 8, 3, 6, '_')",3576.0,599.0,575.0,2204.0,2768.0,2131.0,2210.0,1405.0,1643.0,2760.0,2788.0,1825.0,24.0,40.0,40.0,38.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0
6403,6403,6403.0,6403.0,,"(5, 2, 3, 8, 1, 4, 6, 7, '_')",2110.0,601.0,621.0,288.0,343.0,391.0,701.0,703.0,944.0,1321.0,1658.0,1540.0,22.0,40.0,40.0,28.0,26.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0
6404,6404,6404.0,6404.0,,"(1, 5, 7, 3, 8, 2, 6, 4, '_')",6335.0,321.0,324.0,486.0,430.0,474.0,1277.0,2423.0,2813.0,5917.0,5588.0,3298.0,26.0,46.0,46.0,40.0,32.0,32.0,28.0,26.0,26.0,26.0,26.0,26.0
6405,6405,6405.0,6405.0,,"(7, 5, 4, 8, 3, 2, 1, 6, '_')",496.0,912.0,271.0,177.0,879.0,653.0,736.0,349.0,250.0,384.0,277.0,361.0,20.0,60.0,26.0,26.0,28.0,28.0,20.0,20.0,20.0,20.0,20.0,20.0
6406,6406,6406.0,6406.0,,"(8, 3, 4, 1, 2, 7, 6, 5, '_')",2669.0,755.0,792.0,381.0,258.0,305.0,447.0,1308.0,2423.0,1447.0,2431.0,2514.0,24.0,48.0,48.0,40.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0
6407,6407,6407.0,6407.0,,"(7, 3, 2, 8, 4, 1, 5, 6, '_')",4926.0,897.0,491.0,964.0,1175.0,1256.0,1007.0,1267.0,2210.0,3615.0,4531.0,3279.0,24.0,56.0,34.0,34.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,24.0
6408,6408,6408.0,6408.0,,"(2, 5, 4, 7, 3, 6, 8, 1, '_')",153.0,710.0,701.0,144.0,94.0,99.0,77.0,77.0,78.0,108.0,77.0,75.0,16.0,44.0,36.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
6409,6409,6409.0,6409.0,,"(8, 4, 6, 7, 2, 5, 3, 1, '_')",2478.0,161.0,164.0,213.0,1376.0,649.0,2065.0,877.0,1121.0,1565.0,1864.0,1715.0,24.0,34.0,34.0,34.0,30.0,34.0,30.0,24.0,24.0,24.0,24.0,24.0
6410,6410,6410.0,6410.0,,"(4, 3, 2, 1, 5, 6, 7, 8, '_')",2251.0,573.0,499.0,622.0,753.0,753.0,885.0,851.0,1036.0,1250.0,1959.0,1042.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
6411,6411,6411.0,6411.0,,"(1, 5, 7, 6, 8, 2, 4, 3, '_')",1563.0,133.0,133.0,216.0,431.0,445.0,440.0,643.0,813.0,766.0,1271.0,750.0,22.0,30.0,30.0,30.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0,22.0
6412,6412,6412.0,6412.0,,"(2, 5, 6, 3, 4, 7, 1, 8, '_')",1063.0,784.0,746.0,1964.0,1104.0,1044.0,823.0,563.0,1058.0,497.0,1058.0,1057.0,20.0,42.0,42.0,36.0,22.0,24.0,22.0,22.0,20.0,20.0,20.0,20.0
6413,6413,6413.0,6413.0,,"(6, 1, 3, 8, 2, 5, 7, 4, '_')",5940.0,258.0,261.0,348.0,541.0,433.0,1237.0,2963.0,3293.0,2984.0,5600.0,4051.0,24.0,34.0,34.0,28.0,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0
6414,6414,6414.0,6414.0,,"(7, 3, 5, 8, 2, 4, 6, 1, '_')",1174.0,600.0,555.0,514.0,382.0,396.0,1298.0,1086.0,819.0,524.0,831.0,611.0,22.0,38.0,38.0,30.0,26.0,26.0,30.0,22.0,22.0,22.0,22.0,22.0
6415,6415,6415.0,6415.0,,"(4, 7, 2, 3, 6, 5, 8, 1, '_')",9886.0,927.0,517.0,1015.0,621.0,829.0,1776.0,2132.0,4137.0,4180.0,9141.0,4307.0,26.0,60.0,38.0,38.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0
6416,6416,6416.0,6416.0,,"(5, 6, 7, 1, 4, 3, 8, 2, '_')",9369.0,885.0,1033.0,553.0,614.0,539.0,908.0,1897.0,3776.0,6407.0,8972.0,3789.0,26.0,56.0,46.0,30.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0
6417,6417,6417.0,6417.0,,"(8, 3, 7, 6, 1, 4, 5, 2, '_')",1455.0,311.0,314.0,705.0,744.0,668.0,542.0,468.0,578.0,1273.0,908.0,518.0,24.0,48.0,48.0,44.0,34.0,36.0,28.0,24.0,24.0,24.0,24.0,24.0
6418,6418,6418.0,6418.0,,"(6, 1, 5, 3, 8, 7, 2, 4, '_')",1013.0,719.0,655.0,617.0,493.0,499.0,505.0,149.0,237.0,590.0,406.0,328.0,22.0,60.0,52.0,42.0,28.0,28.0,28.0,22.0,22.0,22.0,22.0,22.0
6419,6419,6419.0,6419.0,,"(2, 3, 8, 5, 7, 1, 4, 6, '_')",957.0,988.0,598.0,566.0,377.0,381.0,365.0,448.0,573.0,534.0,701.0,664.0,20.0,50.0,36.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
6420,6420,6420.0,6420.0,,"(5, 3, 2, 6, 1, 4, 8, 7, '_')",22721.0,251.0,251.0,244.0,807.0,945.0,1273.0,4126.0,10226.0,13806.0,22715.0,16345.0,28.0,34.0,34.0,34.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
6421,6421,6421.0,6421.0,,"(1, 6, 8, 4, 7, 2, 3, 5, '_')",1839.0,247.0,247.0,362.0,463.0,465.0,716.0,868.0,907.0,1080.0,1223.0,773.0,22.0,36.0,36.0,24.0,24.0,24.0,22.0,22.0,22.0,22.0,22.0,22.0
6422,6422,6422.0,6422.0,,"(4, 2, 5, 1, 8, 3, 7, 6, '_')",859.0,335.0,254.0,317.0,330.0,330.0,402.0,473.0,478.0,467.0,575.0,521.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6423,6423,6423.0,6423.0,,"(2, 3, 7, 6, 4, 8, 1, 5, '_')",608.0,233.0,233.0,269.0,401.0,319.0,489.0,454.0,397.0,318.0,402.0,428.0,20.0,40.0,40.0,34.0,28.0,28.0,20.0,20.0,20.0,20.0,20.0,20.0
6424,6424,6424.0,6424.0,,"(1, 6, 7, 5, 8, 3, 4, 2, '_')",318.0,683.0,460.0,164.0,191.0,184.0,301.0,157.0,174.0,148.0,174.0,155.0,18.0,44.0,22.0,22.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0
6425,6425,6425.0,6425.0,,"(4, 7, 1, 3, 2, 5, 8, 6, '_')",784.0,634.0,577.0,634.0,1105.0,749.0,1063.0,536.0,482.0,786.0,482.0,468.0,20.0,42.0,42.0,30.0,24.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0
6426,6426,6426.0,6426.0,,"(8, 5, 6, 2, 3, 4, 1, 7, '_')",1509.0,643.0,1394.0,688.0,1033.0,1001.0,2325.0,1908.0,1279.0,652.0,1279.0,1217.0,22.0,52.0,44.0,36.0,26.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0
6427,6427,6427.0,6427.0,,"(2, 5, 8, 1, 6, 7, 4, 3, '_')",359.0,267.0,295.0,378.0,99.0,129.0,96.0,95.0,129.0,242.0,128.0,125.0,18.0,42.0,42.0,24.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6428,6428,6428.0,6428.0,,"(8, 3, 1, 7, 5, 4, 2, 6, '_')",8409.0,793.0,1173.0,1215.0,1499.0,1910.0,1515.0,4568.0,4865.0,4062.0,7746.0,3401.0,26.0,56.0,42.0,34.0,28.0,28.0,30.0,28.0,26.0,26.0,26.0,26.0
6429,6429,6429.0,6429.0,,"(4, 7, 3, 8, 5, 2, 6, 1, '_')",4127.0,774.0,538.0,991.0,815.0,993.0,1405.0,2066.0,2259.0,1925.0,3511.0,2133.0,24.0,60.0,40.0,40.0,28.0,28.0,26.0,24.0,24.0,24.0,24.0,24.0
6430,6430,6430.0,6430.0,,"(5, 4, 6, 2, 1, 7, 3, 8, '_')",8842.0,1084.0,430.0,379.0,1520.0,555.0,696.0,2200.0,3298.0,5684.0,8236.0,5942.0,26.0,82.0,50.0,42.0,28.0,36.0,30.0,26.0,26.0,26.0,26.0,26.0
6431,6431,6431.0,6431.0,,"(7, 1, 2, 4, 5, 8, 3, 6, '_')",2201.0,871.0,691.0,593.0,782.0,705.0,2208.0,1678.0,1581.0,1481.0,1786.0,1733.0,22.0,44.0,38.0,34.0,28.0,28.0,26.0,22.0,22.0,22.0,22.0,22.0
6432,6432,6432.0,6432.0,,"(3, 2, 1, 8, 4, 7, 6, 5, '_')",2657.0,844.0,482.0,270.0,1582.0,1735.0,1446.0,1495.0,1466.0,2425.0,2095.0,1650.0,24.0,66.0,48.0,36.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
6433,6433,6433.0,6433.0,,"(3, 7, 4, 2, 1, 8, 5, 6, '_')",3113.0,764.0,359.0,225.0,503.0,425.0,1020.0,706.0,1491.0,1554.0,2221.0,1399.0,24.0,58.0,46.0,34.0,32.0,32.0,30.0,26.0,24.0,24.0,24.0,24.0
6434,6434,6434.0,6434.0,,"(4, 1, 5, 8, 3, 2, 6, 7, '_')",984.0,109.0,109.0,122.0,160.0,135.0,220.0,945.0,778.0,737.0,797.0,730.0,20.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0
6435,6435,6435.0,6435.0,,"(8, 7, 3, 1, 5, 4, 2, 6, '_')",1421.0,350.0,276.0,427.0,380.0,406.0,422.0,317.0,534.0,1067.0,988.0,799.0,22.0,38.0,38.0,38.0,24.0,24.0,24.0,22.0,22.0,22.0,22.0,22.0
6436,6436,6436.0,6436.0,,"(2, 6, 8, 4, 3, 1, 7, 5, '_')",964.0,324.0,304.0,443.0,204.0,211.0,231.0,436.0,484.0,460.0,664.0,585.0,20.0,34.0,34.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
6437,6437,6437.0,6437.0,,"(1, 4, 6, 3, 2, 7, 8, 5, '_')",12303.0,1069.0,414.0,261.0,834.0,580.0,1219.0,3007.0,5454.0,5746.0,12190.0,7577.0,26.0,76.0,44.0,28.0,26.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0
6438,6438,6438.0,6438.0,,"(2, 4, 8, 5, 1, 7, 3, 6, '_')",17261.0,243.0,243.0,252.0,1174.0,1440.0,1639.0,2854.0,6527.0,9638.0,17181.0,6949.0,28.0,38.0,38.0,38.0,34.0,34.0,32.0,28.0,28.0,28.0,28.0,28.0
6439,6439,6439.0,6439.0,,"(6, 8, 4, 2, 7, 5, 1, 3, '_')",700.0,931.0,1050.0,889.0,305.0,340.0,207.0,227.0,256.0,542.0,357.0,330.0,22.0,66.0,54.0,36.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
6440,6440,6440.0,6440.0,,"(8, 3, 5, 7, 1, 2, 4, 6, '_')",2108.0,704.0,789.0,449.0,1856.0,1089.0,1588.0,1848.0,1629.0,1011.0,1657.0,1688.0,22.0,38.0,32.0,32.0,24.0,24.0,24.0,22.0,22.0,22.0,22.0,22.0
